バージョン,タイトル,ジャンル,アーティスト,プレー回数,NORMAL 難易度,NORMAL EXスコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER EXスコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER EXスコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,最終プレー日時
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,0,1,0,0,0,---,FULLCOMBO CLEAR,---,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,2017-12-29 17:46
3rd style,Holic,HARD TECHNO,TaQ,2,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,11,1574,697,180,0,FULLCOMBO CLEAR,AAA,2018-01-25 22:22
3rd style,R5,RAVE,tigerYAMATO with ultrabeatbox,8,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,1681,806,69,3,EX HARD CLEAR,AAA,2018-05-26 23:01
3rd style,THE SAFARI,WORLD HOUSE,Lion Musashi,8,7,0,0,0,---,NO PLAY,---,10,1635,746,143,1,EX HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2018-05-08 19:13
4th style,DXY!,TECHNO,TaQ,13,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,1977,854,269,17,HARD CLEAR,AA,2018-07-18 21:23
4th style,KAMIKAZE,TECHNO,dj nagureo,1,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,10,2106,958,190,5,NO PLAY,AAA,2017-12-29 18:26
4th style,starmine,HAPPY HARDCORE,Ryu☆,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
4th style,SWEET LAB,LOUNGE HOUSE,DJ SIMON,0,3,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
5th style,V,PROGRESSIVE,TAKA,2,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2633,1169,295,10,EX HARD CLEAR,AA,2018-02-08 20:57
6th style,Colors (radio edit),TRANCE,dj TAKA,1,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,2153,954,245,11,EX HARD CLEAR,AA,2018-04-25 20:56
7th style,Spica,HOUSE,D.JW,8,4,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,1998,886,226,6,EX HARD CLEAR,AA,2018-08-07 19:47
7th style,stoic,TECHNO,TaQ,10,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,2362,1063,236,2,FULLCOMBO CLEAR,AAA,2018-04-26 21:59
7th style,革命,ORCHESTRAL,dj TAKA with NAOKI,1,6,0,0,0,---,NO PLAY,---,10,1592,658,276,14,NO PLAY,AA,10,0,0,0,---,NO PLAY,---,2017-12-29 18:24
8th style,PLEASE DON'T GO,DISCO,ASLETICS,4,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,12,2173,964,245,15,EX HARD CLEAR,AA,2018-03-23 21:52
8th style,rainbow flyer,TRANCE,dj TAKA,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,FULLCOMBO CLEAR,---,2017-12-29 17:46
8th style,xenon,ELECTROSHOCK,Mr.T,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
9th style,one or eight,HARDCORE RAVE,sampling masters AYA,3,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2012,859,294,10,EX HARD CLEAR,AA,2018-07-18 21:32
9th style,quasar,TRANCE,OutPhase,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,FULLCOMBO CLEAR,---,2017-12-29 17:46
9th style,Quickening,PSYCHEDELIC,dj TAKA,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,2017-12-29 17:46
10th style,Daisuke,EUROBEAT,Y&Co.,3,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,2293,1091,111,3,FULLCOMBO CLEAR,AAA,2018-01-14 15:43
10th style,GRADIUS -FULL SPEED-,GAME MUSIC,Mr.T,1,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1680,729,222,49,FAILED,AA,2018-05-14 22:43
10th style,Innocent Walls,TECHNO,TaQ,3,8,0,0,0,---,NO PLAY,---,12,2169,921,327,8,EX HARD CLEAR,AA,12,2434,1025,384,11,EX HARD CLEAR,AA,2018-07-17 21:48
10th style,Love Is Eternity,TRANCE,kors k,2,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2199,1003,193,6,EX HARD CLEAR,AAA,2018-02-28 21:50
10th style,One More Lovely,HAPPY,Risk Junk,1,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,2455,1105,245,---,HARD CLEAR,AA,2018-02-24 21:21
10th style,rainbow rainbow,HAPPY HARDCORE,Ryu☆,0,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,0,0,0,---,FULLCOMBO CLEAR,---,2017-12-29 17:46
10th style,SPACE FIGHT,戦艦テクノ,AKIRA YAMAOKA,9,3,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2062,958,146,4,FULLCOMBO CLEAR,AAA,2018-04-25 21:39
10th style,雪月花,HARD HOUSE,Ryu☆,5,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2237,1011,215,26,EX HARD CLEAR,AA,2018-08-14 21:02
IIDX RED,AA,RENAISSANCE,D.J.Amuro,2,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3277,1481,315,10,FULLCOMBO CLEAR,AAA,2018-01-05 20:56
IIDX RED,ANDROMEDA,PSYCHEDELIC GOA TRANCE,Sota Fujimori,3,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2694,1266,162,4,EX HARD CLEAR,AAA,2018-04-12 22:04
IIDX RED,Be quiet,HARD DANCE,Ryu☆,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
IIDX RED,FAKE TIME,HARD ROCK,dj REMO-CON,12,5,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,12,1973,940,93,---,FAILED,AA,2018-08-23 21:20
IIDX RED,GENOCIDE,DRUM'N'BASS,dj Killer,10,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,2215,1014,187,2,EX HARD CLEAR,AAA,2018-08-24 22:28
IIDX RED,gigadelic,NUSTYLE GABBA,teranoid feat.MC Natsack,3,9,0,0,0,---,NO PLAY,---,12,1954,862,230,7,EX HARD CLEAR,AA,12,2174,934,306,7,EX HARD CLEAR,AA,2018-02-23 22:33
IIDX RED,KEY,BEAT ROCK,colors,0,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,0,0,0,---,EASY CLEAR,---,2017-12-29 17:46
IIDX RED,NEBULA GRASPER,PSYCHEDELIC TRANCE,L.E.D.,1,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,2283,1058,167,1,ASSIST CLEAR,AAA,2018-05-14 22:45
IIDX RED,RED ZONE,SPEED RAVE,Tatsh&NAOKI,1,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2149,975,199,1,FULLCOMBO CLEAR,AAA,2017-12-30 17:21
IIDX RED,RED ZONE†,SPEED RAVE,Tatsh&NAOKI,1,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,12,2882,1345,192,7,EX HARD CLEAR,AAA,2018-02-09 21:56
IIDX RED,ピアノ協奏曲第１番”蠍火”,DIRGE,virkato,19,5,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,12,2450,1076,298,21,HARD CLEAR,AA,2018-08-24 23:06
HAPPY SKY,Aurora,TRANCE CORE,Ryu☆,0,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,EX HARD CLEAR,---,11,0,0,0,---,FULLCOMBO CLEAR,---,2017-12-29 17:46
HAPPY SKY,EDEN,HYPER J-POP SIX,ＴЁЯＲＡ,2,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,2605,1258,89,3,EX HARD CLEAR,AAA,2018-04-05 21:09
HAPPY SKY,rage against usual,DIGI-ROCK,dj TAKA feat.Gt.Shintaro,6,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2737,1243,251,10,EX HARD CLEAR,AAA,2018-06-21 20:48
HAPPY SKY,SCREAM SQUAD,BREAKCORE,CALF,1,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,1719,718,283,9,EX HARD CLEAR,AA,2018-02-24 21:52
HAPPY SKY,Scripted Connection⇒ A mix,TECHNO,DJ MURASAME,5,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2688,1176,336,10,EX HARD CLEAR,AA,2018-05-01 21:17
HAPPY SKY,SigSig,MAKINA,kors k,1,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,2453,1158,137,5,EX HARD CLEAR,AAA,2018-01-19 23:28
HAPPY SKY,Xepher,MEDIEVAL CHOIR,Tatsh,0,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
HAPPY SKY,冥,HUMAN SEQUENCER,Amuro vs Killer,100,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3282,1431,420,12,EX HARD CLEAR,AA,2018-08-14 21:26
DistorteD,Bloody Tears(IIDX EDITION),HARD RENAISSANCE,DJ YOSHITAKA,2,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,2041,954,133,2,FULLCOMBO CLEAR,AAA,2018-03-13 21:14
DistorteD,Broadbanded,TRANCE,SADA,0,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
DistorteD,Concertino in Blue,PROGRESSIVE,佐々木博史,0,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,HARD CLEAR,---,2017-12-29 17:46
DistorteD,Ganymede,ESOTERIC SLOWCORE,玄武,14,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,2121,957,207,1,FULLCOMBO CLEAR,AA,2018-08-10 21:45
DistorteD,The Dirty of Loudness,SADISTIC HARDCORE,Tatsh Assault X,9,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,2478,1158,162,1,FULLCOMBO CLEAR,AAA,2018-02-15 21:39
DistorteD,waxing and wanding,DANCE SPEED,青龍,0,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
DistorteD,カゴノトリ～弐式～,和式電子音楽,橙色特別室,1,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,0,0,0,---,FULLCOMBO CLEAR,---,2018-05-08 19:43
DistorteD,嘆きの樹,CONTEMPORARY,金獅子,13,8,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,12,3507,1580,347,15,EX HARD CLEAR,AA,2018-08-20 20:49
DistorteD,華蝶風雪,ASIAN MIXTURE,白虎,1,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,2833,1343,147,1,FULLCOMBO CLEAR,AAA,2018-02-11 16:16
GOLD,Blind Justice ～Torn souls， Hurt Faiths ～,EPIC POETRY,Zektbach,1,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2384,1145,94,0,FULLCOMBO CLEAR,AAA,2018-03-22 22:06
GOLD,Candy Galy,HAPPY,Risk Junk-G,0,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
GOLD,CaptivAte～誓い～,NOSTALISH REQUIEM,A/I,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
GOLD,CROSSROAD ～Left Story～,DRAMATIC EURO TRANCE,jun with TAHIRIH,3,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,2113,1020,73,0,FULLCOMBO CLEAR,AAA,2018-03-28 21:22
GOLD,Fascination MAXX,SuperNOVA BEAT,100-200-400,0,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,12,0,0,0,---,HARD CLEAR,---,2017-12-29 17:46
GOLD,FIRE FIRE,BUCHIAGE TRANCE,StripE,8,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2511,1126,259,4,EX HARD CLEAR,AAA,2018-05-15 20:01
GOLD,GOLD RUSH,RECKLESS RAVE,DJ YOSHITAKA-G feat.Michael a la mode,1,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2165,986,193,1,FULLCOMBO CLEAR,AAA,2017-12-30 17:54
GOLD,KAMAITACHI,FREEFORM HARDCORE,DJ TECHNORCH fw. GUHROOVY,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
GOLD,KAMAITACHI†,FREEFORM HARDCORE,DJ TECHNORCH fw. GUHROOVY,34,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,12,3434,1490,454,12,HARD CLEAR,AA,2018-08-24 22:50
GOLD,LASER CRUSTER,NU-SKOOL BREAKS,L.E.D.,0,7,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,12,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
GOLD,Make Me Your Own,HOUSE,good-cool ft. Raj Ramayya,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,2017-12-29 17:46
GOLD,Second Heaven,HANDZ UP,Ryu☆,2,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2009,948,113,2,FULLCOMBO CLEAR,AAA,2018-05-23 20:30
GOLD,Sense 2007,RAVE,good-cool,6,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,12,2603,1158,287,14,EX HARD CLEAR,AA,2018-07-09 21:03
GOLD,the shadow,SCHRANZ,kors k,1,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2578,1158,262,14,EX HARD CLEAR,AA,2018-05-01 20:46
GOLD,VANESSA,DECEPTIVE GABBA,朱雀,0,8,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,12,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
GOLD,VANESSA†,DECEPTIVE GABBA,朱雀,1,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,12,2980,1295,390,48,HARD CLEAR,AA,2018-07-05 20:49
DJ TROOPERS,Anisakis -somatic mutation type"Forza"-,HARD RENAISSANCE,朱雀,6,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,2696,1264,168,4,EX HARD CLEAR,AAA,2018-08-13 21:04
DJ TROOPERS,Blue Rain,TRANCE,dj TAKA VS Ryu☆,1,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2091,954,183,1,FULLCOMBO CLEAR,AAA,2018-01-05 22:49
DJ TROOPERS,Digitank System,TECH-BREAKBEATS,DJ Mass MAD Izm*,7,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,1844,814,216,11,HARD CLEAR,AA,2018-07-02 22:01
DJ TROOPERS,Do it!! Do it!!,N-BEATS,Kraken,3,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,1641,694,253,10,EX HARD CLEAR,AA,2018-02-09 22:16
DJ TROOPERS,four pieces of heaven,JUNGLE,Lion,2,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,1996,838,320,8,HARD CLEAR,AA,2018-04-24 20:52
DJ TROOPERS,ICARUS,NU-SKOOL BREAKBEATS HARDCORE,Eagle,14,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2194,982,230,16,HARD CLEAR,AA,2018-08-16 20:28
DJ TROOPERS,ICARUS†,NU-SKOOL BREAKBEATS HARDCORE,Eagle,21,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,12,3210,1419,372,56,ASSIST CLEAR,AA,2018-08-24 22:48
DJ TROOPERS,in the Sky,HAPPY HARDCORE,Ryu☆,1,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2415,1144,127,2,EX HARD CLEAR,AAA,2018-04-02 21:42
DJ TROOPERS,MENDES,IRREGULAR HI-BREAK,Humanoid,13,6,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,12,3200,1420,360,2,EX HARD CLEAR,AA,2018-08-21 21:48
DJ TROOPERS,PARANOiA ～HADES～,SUPERNOVA2 BEAT #1,αTYPE-300,2,7,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,12,2210,994,222,7,EX HARD CLEAR,AA,2018-07-18 20:28
DJ TROOPERS,Ristaccia,OUVERTURE,Zektbach,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
DJ TROOPERS,satfinal,RAVE,RAM,0,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,FAILED,---,2017-12-29 17:46
DJ TROOPERS,STEEL NEEDLE,BREAK CORE,Scorpion,10,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,2309,1067,175,9,EX HARD CLEAR,AAA,2018-08-24 23:01
DJ TROOPERS,switch,ULTIMATE J-POP,DAISUKE ASAKURA ex.ＴЁЯＲＡ,0,4,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
DJ TROOPERS,THE DEEP STRIKER,NU STYLE GABBA,L.E.D.-G,0,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
DJ TROOPERS,TROOPERS,ULTIMATE CORE,Des-TRACT,0,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,HARD CLEAR,---,2017-12-29 17:46
DJ TROOPERS,Ubertreffen,PROGRESSIVE BAROQUE,TAKA respect for J.S.B.,5,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,2329,1059,211,3,FULLCOMBO CLEAR,AAA,2018-03-20 22:36
DJ TROOPERS,華爛漫 -Flowers-,HYPER JAPANESQUE 2,ＴЁЯＲＡ,2,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1952,928,96,0,FULLCOMBO CLEAR,AAA,2018-04-04 21:34
EMPRESS,3y3s,DANCE SPEED,青龍,24,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,HARD CLEAR,---,12,3036,1282,472,19,EX HARD CLEAR,AA,2018-04-26 22:23
EMPRESS,Arabian Rave Night,ARABIC HARDCORE,dj MAX STEROID,3,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,2682,1222,238,6,EX HARD CLEAR,AAA,2018-05-23 20:37
EMPRESS,B4U(BEMANI FOR YOU MIX),RECKLESS RAVE,Remixed by DJ YOSHITAKA with Michael a la mode,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
EMPRESS,BITTER CHOCOLATE STRIKER,JUMPSTYLE,L.E.D.-G,21,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3638,1673,292,0,FULLCOMBO CLEAR,AAA,2018-06-07 21:35
EMPRESS,Colorful Cookie,HAPPY HARDCORE,Lucky Vacuum,6,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3170,1451,268,12,EX HARD CLEAR,AAA,2018-06-07 21:41
EMPRESS,Fly Above,DREAM TRANCE,Sota Fujimori,2,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,1902,892,118,4,FULLCOMBO CLEAR,AAA,2018-03-12 21:06
EMPRESS,Go Beyond!!,TRANCE CORE,Ryu☆ Vs. Sota,7,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,915,396,123,---,HARD CLEAR,D,2018-08-23 21:22
EMPRESS,Just a Little Smile,NU SKOOL BREAKS,Sota Fujimori,4,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2226,988,250,4,EX HARD CLEAR,AA,2018-08-02 20:30
EMPRESS,Kung-fu Empire,ASIAN JANGLE,飛燕流舞,1,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,2973,1347,279,9,EX HARD CLEAR,AAA,2018-04-09 21:19
EMPRESS,naughty girl@Queen's Palace,TECH-BREAKBEATS,DJ Mass MAD Izm*,20,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,1853,801,251,10,HARD CLEAR,AA,2018-08-10 21:48
EMPRESS,Secrets,TECH-PARA,good-cool ft. CHiCO,11,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2898,1325,248,6,EX HARD CLEAR,AAA,2018-06-26 21:02
EMPRESS,Turii ～Panta rhei～,ELEMENTAL CHANT,Zektbach,2,4,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,2525,1182,161,1,FULLCOMBO CLEAR,AAA,2018-03-20 22:50
EMPRESS,V2,PROGRESSIVE,TAKA,4,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,3255,1475,305,3,FULLCOMBO CLEAR,AAA,2018-01-30 21:04
EMPRESS,You'll say "Now!",ONLY ONE TECHNO,BLACK STAR 幸広-YUKIHIRO-,14,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,2338,1079,180,0,FULLCOMBO CLEAR,AAA,2018-04-17 21:18
EMPRESS,ミッドナイト堕天使,TRENDY TECHNO,Dr.Honda,0,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
EMPRESS,不沈艦CANDY,HARDCORE,Risk Junk,12,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,3029,1381,267,6,EX HARD CLEAR,AAA,2018-07-31 20:31
EMPRESS,卑弥呼,ESOTERIC SPEEDCORE,朱雀 VS 玄武,36,6,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,12,3446,1495,456,32,HARD CLEAR,AA,2018-08-24 23:20
EMPRESS,天空脳番長危機十六連打,RAGE AGAINST EMPRESS,D.J.SETUP,3,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,2366,1062,242,1,FULLCOMBO CLEAR,AAA,2018-03-22 21:37
EMPRESS,鉄甲乙女-under the steel-,IRON CONCERTO,Seiya Murai,0,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,2017-12-29 17:46
SIRIUS,Almagest,AKASHIC RECORDS,Galdeira,22,7,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,12,2868,1293,282,11,EX HARD CLEAR,AA,2018-08-21 20:56
SIRIUS,Bad Maniacs,INDUSTRIAL,kors k as teranoid,5,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2931,1321,289,15,EX HARD CLEAR,AA,2018-08-09 20:45
SIRIUS,bass 2 bass,BUBBLEGUM DANCE,Ryu☆,0,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,HARD CLEAR,---,2017-12-29 17:46
SIRIUS,bloomin' feeling,HAPPY HARDCORE,Ryu☆,0,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,FULLCOMBO CLEAR,---,2017-12-29 17:46
SIRIUS,DESIRE,UK HARDCORE,M-Project fw. GUHROOVY,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
SIRIUS,DOMINION,HARDCORE,L.E.D.-G,0,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
SIRIUS,eRAseRmOToRpHAntOM,HARDCORE,L.E.D.-G VS GUHROOVY,3,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2861,1241,379,14,EX HARD CLEAR,AA,2018-05-09 21:21
SIRIUS,Evans,HARD RENAISSANCE,DJ YOSHITAKA,1,6,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,12,2441,1052,337,15,HARD CLEAR,AA,2018-03-23 22:30
SIRIUS,EXUSIA,HARDCORE,L.E.D.-G,4,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3249,1421,407,14,EX HARD CLEAR,AA,2018-01-30 22:03
SIRIUS,G59,EXPERIMENTAL MUSIC,怒れる金の獅子,0,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,FULLCOMBO CLEAR,---,2017-12-29 17:46
SIRIUS,GOLDEN CROSS,TECHNO,dj REMO-CON VS dj TAKA,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,0,0,0,---,FULLCOMBO CLEAR,---,2017-12-29 17:46
SIRIUS,Hydrogen Blueback,TECH DANCE,MAD CHILD,11,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,2149,995,159,1,FULLCOMBO CLEAR,AAA,2018-03-13 21:06
SIRIUS,mosaic,TECHNO POP SPEED,Auridy,0,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,FULLCOMBO CLEAR,---,2017-12-29 17:46
SIRIUS,quell～the seventh slave～,TRANCE,dj TAKA Vs. DJ YOSHITAKA,19,4,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,2944,1345,254,9,EX HARD CLEAR,AAA,2018-08-20 20:12
SIRIUS,Red. by Full Metal Jacket,TECH-BREAKBEATS,DJ Mass MAD Izm*,20,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2649,1106,437,29,HARD CLEAR,AA,2018-08-02 20:35
